,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
153,0.577,0.922,-4.344,0.0486,0.000947,0.0,0.167,0.804,95.619,7e48iumq9x9196qliMRwU8,171120
154,0.515,0.793,-4.618,0.034,0.00152,1.12e-05,0.222,0.243,145.143,6sA2vXE2gI7V06zrOcbCBr,232520
155,0.401,0.979,-3.423,0.129,0.0983,0.0,0.202,0.556,173.745,5oomlbcQ6EkLuHWNsyUd1x,173773
156,0.546,0.855,-3.904,0.0578,0.000585,0.0,0.0121,0.667,151.958,1q8Y4RFM9W3xt8W2zjBAPf,197493
157,0.616,0.871,-4.128,0.049,0.00141,0.0,0.426,0.68,119.966,3FHxztMm05aMkRvfozbapQ,177760
158,0.563,0.858,-3.828,0.0432,0.00134,0.0,0.0992,0.542,144.982,1P9KaqqxnvZrEMhJ0OYzt3,158227
159,0.625,0.875,-4.423,0.0689,0.00366,0.0,0.0784,0.509,131.976,0wwUbkmvyT5I2vmEwkoFvp,205853
160,0.429,0.947,-2.602,0.116,0.000525,0.0,0.319,0.399,149.907,0gSE5cPoUfkgSselPZmUcq,205493
161,0.533,0.935,-3.114,0.052,0.00134,0.0,0.242,0.901,106.971,0PVohbHbtOwUU74dSxSugU,177080
162,0.501,0.899,-3.054,0.0429,0.000931,0.0,0.0738,0.732,153.066,6wZ0H5BbKeiUAYUtxGVLuH,189227
163,0.416,0.923,-2.941,0.0984,0.00365,0.0,0.357,0.603,185.005,6hFivDcvsxoBMOrwOKFyjI,205507
164,0.29,0.57,-6.056,0.029,0.0119,0.0,0.0561,0.419,99.028,5RWlUl9wphNCAz0JIbznkA,230867
165,0.553,0.944,-3.335,0.0325,0.000641,0.0,0.0739,0.5,107.025,0Gs9l8luyTNqUEVEUwa769,232027
166,0.494,0.842,-4.784,0.0843,0.00579,0.0,0.122,0.574,162.011,2TfSHkHiFO4gRztVIkggkE,229093
167,0.589,0.907,-5.648,0.0835,0.0675,0.0,0.0886,0.817,151.961,5xRR2AkmDToz1XN357z5Ng,281067
168,0.536,0.826,-4.348,0.0379,0.0419,1.17e-06,0.132,0.819,165.324,4uBWFxLSW0fodXxKKhiuvo,289480
169,0.662,0.908,-4.764,0.0449,0.0506,0.0,0.0508,0.967,149.941,4V9JDRqKjN8F2HWdlEDxvI,173693
170,0.44,0.976,-3.17,0.141,0.00177,3.39e-06,0.16,0.412,150.005,20X9OeC606XNwEtDBOym5u,226707
171,0.521,0.702,-5.189,0.0331,0.189,0.0,0.0962,0.25,127.976,1MaqkdFNIKPdpQGDzme5ss,242840
172,0.442,0.952,-2.214,0.0541,2.41e-05,0.0,0.205,0.505,130.682,40Fp6pxcS9l08kL1R50mR4,203640
173,0.422,0.904,-4.531,0.102,0.02,4.49e-06,0.686,0.32,163.929,1uVll3x5QBjHNEwU6ENwTy,232240
174,0.463,0.901,-4.073,0.087,0.00779,0.0,0.32,0.621,163.966,7DYWvQ1RS986e59CXJJGxx,227360
175,0.407,0.923,-4.884,0.131,0.17,0.0,0.112,0.515,200.005,3igu6bCzkaIrioZIhK3p2n,199707
176,0.423,0.94,-4.012,0.0635,0.00166,0.0,0.178,0.505,149.934,56Tl3UgyZTqfZtvFNS31wm,206520
177,0.461,0.942,-3.703,0.154,0.000788,0.0,0.128,0.777,168.023,3QwUpjdU50xoLQGrIMY1k2,200813
178,0.456,0.873,-3.545,0.0365,0.00651,0.0,0.104,0.759,188.063,6206Kvrl6LTMvDomHgEDMH,198280
179,0.54,0.913,-4.176,0.233,0.0674,0.0,0.101,0.632,160.168,4ovyfCWkk5QZhFUEj3FOQA,188440
180,0.717,0.544,-6.598,0.0371,0.445,5.16e-06,0.0973,0.641,139.959,2ih2U8ttFzCjnQ5njF3SrR,244493
181,0.54,0.913,-4.176,0.233,0.0674,0.0,0.101,0.632,160.168,4ovyfCWkk5QZhFUEj3FOQA,188440
182,0.874,0.692,-5.28,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,55h7vJchibLdUkxdlX3fK7,178560
183,0.612,0.28,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,0nJW01T7XtvILxQgC5J7Wh,213827
184,0.416,0.748,-4.83,0.0487,7.43e-05,0.0,0.0995,0.792,150.094,4COleG16xBCkpofKHsJU2p,230560
185,0.743,0.706,-5.728,0.0535,0.0461,0.0,0.204,0.514,77.989,2tCPIp83mRXvVTytTAf1W4,207560
186,0.522,0.413,-5.86,0.0316,0.722,0.0,0.0854,0.49,175.972,7lXOqE38eCr979gp27O5wr,132640
187,0.405,0.689,-5.75,0.0365,0.0843,0.0,0.207,0.397,155.189,1S30kHvkkdMkcuCTGSgS41,191560
188,0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,3w3y8KPTfNeOKPiqUTakBh,233478
189,0.555,0.814,-3.927,0.0303,0.0993,3.7e-06,0.128,0.523,140.081,0HasfWMrNxTjycDy9TkRtA,228347
190,0.397,0.903,-4.577,0.0457,0.00575,1.6e-06,0.362,0.556,151.551,2md2i5QvelRFnafpnd6LOg,201373
191,0.589,0.389,-5.972,0.028,0.851,0.0,0.0772,0.501,89.1,7l1qvxWjxcKpB9PCtBuTbU,197470
192,0.621,0.82,-4.865,0.0367,0.332,0.0,0.104,0.452,144.905,22PMfvdz35fFKYnJyMn077,230192
193,0.785,0.6,-5.73,0.0504,0.00507,0.0,0.077,0.753,105.029,6zCoJw7mKhZX40HHAGHvE2,230826
194,0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,0.955,174.915,1ExfPZEiahqhLyajhybFeS,189109
195,0.658,0.762,-3.028,0.0425,0.263,0.0,0.127,0.823,163.864,5MMLS3xm12D7N26xlfFApr,148448
196,0.64,0.884,-2.609,0.0428,0.0226,0.0,0.187,0.573,124.968,36UVZPoK8a1Oxh13cY8kOp,244000
197,0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,7BqBn9nzAq8spo5e7cZ0dJ,220734
198,0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,2tJulUYLDKOg9XrtVkMgcJ,222091
199,0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,2hKdd3qO7cWr2Jo0Bcs0MA,259933
200,0.574,0.824,-6.885,0.0463,0.359,0.0,0.0816,0.434,149.981,4rMNgxEwGWoPHIUcvB5BrB,257848
201,0.424,0.883,-4.091,0.23,0.00625,0.0,0.0803,0.704,178.07,4GAYV2RZsHNx2WBztWQrRH,228800
202,0.543,0.919,-4.831,0.0415,0.000449,0.0,0.243,0.498,125.023,7AsqUKKbPMxOFNIbRLBxHt,195307
203,0.407,0.923,-4.884,0.131,0.17,0.0,0.112,0.515,200.005,3igu6bCzkaIrioZIhK3p2n,199707
204,0.546,0.837,-5.13,0.0519,0.00549,0.0,0.387,0.402,124.007,49rpdsNYJirTTf6p6mMvag,221387
205,0.524,0.921,-2.417,0.0377,0.0282,0.0,0.132,0.703,88.979,6tQofm7cDQwiG32FVF1HAx,216987
206,0.515,0.867,-5.438,0.106,0.0456,0.0,0.138,0.523,129.961,3Vmbt5Yw39WqaIg4eRoOmk,236547
207,0.579,0.889,-4.078,0.0796,0.197,0.0,0.131,0.556,125.948,2M98FO4fkGec4lzsafk8YY,248080
